Lexicon,Category,,Major category,
acoustic,4,,transport,1
acustico,4,,nature,2
acústico,4,,human,3
aeropuerto,1,,music,4
agua,2,,indoor,5
air,1,,mechanical,6
aire,1,,,
airplane,1,,,
airport,1,,,
alarido,3,,,
alarm,6,,,
aliento,3,,,
animal,2,,,
animales,2,,,
animals,2,,,
aplaudir,4,,,
aplauso,4,,,
aplausos,4,,,
applause,4,,,
arboles,2,,,
árboles,2,,,
arpeggio,4,,,
arpegio,4,,,
ascensor,5,,,
atmosfera,2,,,
atmósfera,2,,,
atmosphere,2,,,
audience,4,,,
audio,4,,,
aullando,2,,,
aullido,2,,,
autobus,1,,,
autobús,1,,,
avion,1,,,
avión,1,,,
baby,3,,,
baile,4,,,
bajo,4,,,
baño,5,,,
bark,2,,,
bass,4,,,
bateria,4,,,
batería,4,,,
bathroom,5,,,
beach,2,,,
beat,4,,,
bebe,3,,,
bebé,3,,,
beep,1,,,
bell,6,,,
bells,6,,,
bici,1,,,
bike,1,,,
bip,1,,,
bird,2,,,
birds,2,,,
birdsong,2,,,
bosque,2,,,
botella,5,,,
bottle,5,,,
breakbeat,4,,,
breath,3,,,
breathing,3,,,
bus,1,,,
calle,3,,,
caminar,3,,,
camion,1,,,
camión,1,,,
campana,6,,,
campanas,6,,,
campanilla,6,,,
campanillas,6,,,
campo,2,,,
cancion,4,,,
canción,4,,,
cantar,4,,,
canto,4,,,
canto de ave,2,,,
car,1,,,
carillon,6,,,
carillón,6,,,
carillones,6,,,
carillónes,6,,,
carrera,1,,,
carretera,1,,,
carril,1,,,
cars,1,,,
cat,2,,,
cello,4,,,
charla,3,,,
chatter,3,,,
child,3,,,
children,3,,,
chillido,3,,,
chime,6,,,
chimes,6,,,
chirp,2,,,
choir,3,,,
choque,6,,,
chordophone,4,,,
church,5,,,
cimbalo,4,,,
címbalo,4,,,
cimbalos,4,,,
címbalos,4,,,
clang,6,,,
clap,4,,,
clapping,4,,,
clarinet,4,,,
clarinete,4,,,
clock,6,,,
club,4,,,
coche,1,,,
coches,1,,,
cocina,5,,,
comer,2,,,
comida,2,,,
computer,5,,,
construccion,6,,,
construcción,6,,,
construction,6,,,
conversacion,3,,,
